x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.3,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.224330599
0.3,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.142733825
0.3,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.204895417
0.3,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.355982659
0.3,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.459268702
0.4,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.648489481
0.4,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.62924594
0.4,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.407843659
0.4,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.084457997
0.4,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.226902083
0.4,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.333184951
0.4,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.401348052
0.4,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.531254516
0.5,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.559085913
0.5,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.515244235
0.5,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.395487476
0.5,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.166698371
0.5,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0
0.5,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.389226215
0.5,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.485336126
0.5,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.554653761
0.6,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.501724523
0.6,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.417881872
0.6,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.312271482
0.6,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.192103181
0.6,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.406779258
0.6,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.585512641
0.6,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.71931996
0.7,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.458294217
0.7,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.377255131
0.7,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.251733752
0.7,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.189579682
0.7,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.135282571
0.7,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,unstable
0.7,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.184698967
0.7,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.568489057
0.7,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.675138897
0.8,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.451044558
0.8,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.420045503
